縣市別,幼兒園,國小,國中,高級中等學校-普通科,高級中等學校-專業群科,高級中等學校-綜合高中,大專校院,宗教研修學院,國民補習及大專進修學校及空大,特殊教育學校,高中
新北市,88778,202529,91044,36286,27493,4080,135995,65,16922,262,67859
臺北市,57492,125093,65268,54449,22915,1942,250939,165,3421,587,79306
桃園市,62155,131258,62184,28842,27813,922,99535,18,1203,353,57577
臺中市,82579,160242,78320,35832,33498,1509,187115,0,4737,635,70839
臺南市,49071,91967,46589,22150,15877,2340,108005,73,729,387,40367
高雄市,65003,128846,64368,31497,30510,1052,136309,150,5263,499,63059
宜蘭縣,11578,21720,11620,5346,3938,933,11076,0,312,91,10217
新竹縣,18949,38429,17235,4993,4709,832,11956,0,148,195,10534
苗栗縣,14072,28275,13787,5967,5755,498,17825,0,175,105,12220
彰化縣,31533,61364,30638,10593,14115,3062,25049,0,381,496,27770
南投縣,11684,22481,11549,3413,5517,1043,9477,89,205,111,9973
雲林縣,15011,30256,17466,6900,5978,978,24124,0,269,180,13856
嘉義縣,9198,17571,9219,2652,2692,74,24808,0,92,0,5418
屏東縣,18038,34546,17910,7705,5825,642,34038,0,378,156,14172
臺東縣,4937,9768,5322,577,2341,1786,6095,0,19,99,4704
花蓮縣,7687,15242,8045,3608,3276,987,17714,0,171,103,7871
澎湖縣,1853,3485,1810,776,1189,0,3063,0,30,0,1965
基隆市,7961,15795,8125,3255,3598,195,15000,0,231,107,7048
新竹市,14554,33197,15841,8654,6983,972,50745,0,122,0,16609
嘉義市,7302,14883,8456,6038,6502,600,12747,0,78,207,19849
金門縣,2194,3878,1871,940,828,0,4215,0,0,0,1768
連江縣,292,492,247,0,0,232,0,0,0,0,232
