學校名稱,系所代碼,系所名稱,109學年修讀輔系人次小計,109學年修讀輔系人次男,109學年修讀輔系人次女,109學年科系總人數,108學年修讀輔系人次小計,108學年修讀輔系人次男,108學年修讀輔系人次女,108學年科系總人數
國立臺灣師範大學,1111001,教育學系,154,44,110,267,150,33,117,260
國立臺灣師範大學,1113018,特殊教育學系,37,4,33,167,27,3,24,172
國立臺灣師範大學,1116079,學習科學學士學位學程,5,4,1,61,5,4,1,48
國立臺灣師範大學,1131004,公民教育與活動領導學系,54,27,27,364,54,24,30,354
國立臺灣師範大學,1131009,社會教育學系,39,6,33,227,26,3,23,208
國立臺灣師範大學,1131017,健康促進與衛生教育學系,18,1,17,172,19,6,13,151
國立臺灣師範大學,1141007,人類發展與家庭學系,39,6,33,308,44,5,39,320
國立臺灣師範大學,1141010,工業教育學系,13,10,3,144,17,11,6,146
國立臺灣師範大學,1141015,體育學系,7,3,4,257,5,0,5,257
國立臺灣師範大學,1199021,教育學院學士班,12,6,6,44,,,,
國立臺灣師範大學,1199022,科技應用與人力資源發展學系,9,8,1,234,2,0,2,222
國立臺灣師範大學,2112037,設計學系,6,2,4,161,8,0,8,153
國立臺灣師範大學,2131023,美術學系,9,0,9,195,11,2,9,182
國立臺灣師範大學,2151024,音樂學系,14,3,11,281,5,0,5,268
國立臺灣師範大學,2152027,表演藝術學士學位學程,10,2,8,86,15,5,10,72
國立臺灣師範大學,2221035,歷史學系,17,5,12,243,17,4,13,235
國立臺灣師範大學,2311033,英語學系,24,4,20,309,46,4,42,314
國立臺灣師範大學,2313005,華語文教學系,45,5,40,418,13,3,10,382
國立臺灣師範大學,2321028,臺灣語文學系,9,4,5,88,46,13,33,93
國立臺灣師範大學,2322029,國文學系,36,5,31,451,24,4,20,444
國立臺灣師範大學,3131003,教育心理與輔導學系,17,2,15,182,25,15,10,190
國立臺灣師範大學,3142041,地理學系,27,17,10,317,21,10,11,307
國立臺灣師範大學,3143042,東亞學系,20,8,12,219,2,0,2,195
國立臺灣師範大學,3214050,圖文傳播學系,4,1,3,183,11,3,8,181
國立臺灣師範大學,4131051,企業管理學系,20,7,13,241,7,4,3,228
國立臺灣師範大學,5111056,生命科學系,23,11,12,256,2,1,1,233
國立臺灣師範大學,5191083,營養科學學士學位學程,4,1,3,93,14,10,4,55
國立臺灣師範大學,5311059,化學系,23,12,11,306,6,3,3,316
國立臺灣師範大學,5321060,地球科學系,7,3,4,156,12,7,5,155
國立臺灣師範大學,5331061,物理學系,12,8,4,263,17,10,7,246
國立臺灣師範大學,5411062,數學系,17,9,8,387,5,3,2,372
國立臺灣師範大學,6131065,資訊工程學系,4,3,1,245,6,3,3,209
國立臺灣師範大學,7141063,電機工程學系,7,4,3,194,3,3,0,177
國立臺灣師範大學,7141080,光電工程學士學位學程,4,4,0,45,6,4,2,29
國立臺灣師範大學,7151068,機電工程學系,3,1,2,215,1,1,0,202
國立臺灣師範大學,7161081,車輛與能源工程學士學位學程,3,3,0,75,1,0,1,50
國立臺灣師範大學,10141074,運動競技學系,1,0,1,281,,,,279
